2020-06-21 05:16:31.0040573 Debug: "{\"ok\":true,\"result\":[]}"
2020-06-21 05:16:36.0496004 Debug: Step, upid: -1
2020-06-21 05:16:41.0917388 Debug: Step, upid: -1
2020-06-21 05:16:46.2095675 Debug: Step, upid: 273312304
2020-06-21 05:16:46.2095675 Warning: Unsupported telegram message: Error in $.result[0]: parsing Web.Telegram.Parsing.BotMessage(BotMessage) failed, key "message" not found
2020-06-21 05:16:46.2095675 Info: Unsupported message, upid: 273312304
2020-06-21 05:16:46.2095675 Debug: Unsupported message, upid: 273312304
2020-06-21 05:16:46.2095675 Error: Unsupported message, upid: 273312304
2020-06-21 05:16:51.2521641 Debug: Step, upid: 273312305
2020-06-21 05:16:56.2938719 Debug: Step, upid: -1
2020-06-21 05:17:01.3390788 Debug: Step, upid: -1
